date,personnel
2023-01-01,106740
2023-01-02,107550
2023-01-03,108250
2023-01-04,108800
2023-01-05,109350
2023-01-06,109950
2023-01-07,110530
2023-01-08,111020
2023-01-09,111710
2023-01-10,112400
2023-01-11,112940
2023-01-12,113520
2023-01-13,114170
2023-01-14,114750
2023-01-15,115210
2023-01-16,115660
2023-01-17,116300
2023-01-18,116890
2023-01-19,117350
2023-01-20,117850
2023-01-21,118400
2023-01-22,119090
2023-01-23,119600
2023-01-24,120230
2023-01-25,120850
2023-01-26,121290
2023-01-27,121890
2023-01-28,122500
2023-01-29,123060
2023-01-30,123540
2023-01-31,124020
2023-02-01,124520
2023-02-02,125000
2023-02-03,125550
2023-02-04,126030
2023-02-05,126520
2023-02-06,127020
2023-02-07,127710
2023-02-08,128400
2023-02-09,129090
2023-02-10,129540
2023-02-11,130040
2023-02-12,130550
2023-02-13,131050
2023-02-14,131550
2023-02-15,132050
2023-02-16,132550
