date,personnel
2023-02-24,146630
2023-02-25,147420
2023-02-26,148190
2023-02-27,148960
2023-02-28,149730
2023-03-01,150510
2023-03-02,151290
2023-03-03,152080
2023-03-04,152870
2023-03-05,153660
2023-03-06,154450
2023-03-07,155240
2023-03-08,156030
2023-03-09,156820
2023-03-10,157610
2023-03-11,158400
2023-03-12,159190
2023-03-13,159980
2023-03-14,160770
2023-03-15,161560
2023-03-16,162350
2023-03-17,163140
2023-03-18,163930
2023-03-19,164720
2023-03-20,165510
2023-03-21,166300
2023-03-22,167090
2023-03-23,167880
2023-03-24,168670
2023-03-25,169460
2023-03-26,170250
2023-03-27,171040
2023-03-28,171830
2023-03-29,172620
2023-03-30,173410
2023-03-31,174200
2023-04-01,174990
2023-04-02,175780
2023-04-03,176570
2023-04-04,177360
2023-04-05,178150
2023-04-06,178940
2023-04-07,179730
2023-04-08,180520
2023-04-09,181310
2023-04-10,182100
2023-04-11,182890
2023-04-12,183680
2023-04-13,184470
2023-04-14,185260
2023-04-15,186050
2023-04-16,186840
2023-04-17,187630
2023-04-18,188420
2023-04-19,189210
2023-04-20,190000
2023-04-21,190790
2023-04-22,191580
2023-04-23,192370
2023-04-24,193160
2023-04-25,193950
2023-04-26,194740
2023-04-27,195530
2023-04-28,196320
2023-04-29,197110
2023-04-30,197900
