date,personnel
2023-02-16,140700
2023-02-17,141530
2023-02-18,142230
2023-02-19,143050
2023-02-20,143900
2023-02-21,144670
2023-02-22,145360
2023-02-23,145970
2023-02-24,146850
2023-02-25,147960
2023-02-26,148660
2023-02-27,149360
2023-02-28,150080
2023-03-01,150820
2023-03-02,151590
2023-03-03,152410
2023-03-04,153220
2023-03-05,153920
2023-03-06,154720
2023-03-07,155460
2023-03-08,156050
2023-03-09,156870
2023-03-10,157780
2023-03-11,158610
2023-03-12,159350
2023-03-13,160090
2023-03-14,160920
2023-03-15,161650
2023-03-16,162400
2023-03-17,162990
2023-03-18,163650
2023-03-19,164580
2023-03-20,165200
2023-03-21,165840
2023-03-22,166650
2023-03-23,167450
2023-03-24,168230
2023-03-25,168930
2023-03-26,169770
2023-03-27,170700
2023-03-28,171370
2023-03-29,172080
2023-03-30,173010
2023-03-31,173670
2023-04-01,174480
2023-04-02,175210
2023-04-03,175970
2023-04-04,176840
2023-04-05,177670
2023-04-06,178420
2023-04-07,179180
2023-04-08,179920
2023-04-09,180690
2023-04-10,181410
2023-04-11,182210
2023-04-12,182950
2023-04-13,183800
2023-04-14,184550
2023-04-15,185250
2023-04-16,185950
2023-04-17,186760
2023-04-18,187540
2023-04-19,188290
2023-04-20,189090
2023-04-21,189900
2023-04-22,190630
2023-04-23,191460
2023-04-24,192220
2023-04-25,192920
2023-04-26,193700
2023-04-27,194480
2023-04-28,195250
2023-04-29,196020
2023-04-30,196780
2023-05-01,197360
2023-05-02,198170
2023-05-03,198950
2023-05-04,199720
2023-05-05,200510
2023-05-06,201290
2023-05-07,202030
2023-05-08,202730
2023-05-09,203550
2023-05-10,204370
2023-05-11,205090
2023-05-12,205820
2023-05-13,206530
2023-05-14,207300
2023-05-15,208070
2023-05-16,208850
2023-05-17,209610
2023-05-18,210320
2023-05-19,211120
2023-05-20,211930
